Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,330,453
2,Mohammad Nabi,AFG,297,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,265,359
5,Glenn Maxwell,AUS,252,350
6,Assad Vala,PNG,248,252
7,Mitchell Santner,NZ,247,317
8,Zeeshan Maqsood,OMA,235,262
9,Mehedi Hasan,BAN,224,295
10,Ravindra Jadeja,IND,222,377
11,Marco Jansen,SA,222,240
12,Josh Hazlewood,AUS,214,216
13,Rachin Ravindra,NZ,210,220
14,Michael Leask,SCO,208,209
15,Chris Woakes,ENG,206,312
16,Hardik Pandya,IND,197,262
17,Sean Williams,ZIM,195,241
18,Mark Watt,SCO,194,201
19,David Willey,ENG,194,194
20,Adil Rashid,ENG,186,258
